text,sentiment,clean_text
But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  ,positive,duet astronaut doctor beginning movie perfect exchange one considers movie made well cold war astronauts biggest fear crashed ussr
This movie is so awesome!  ,positive,movie awesome
"I loved it, it was really scary.  ",positive,loved really scary
I love the Scream movies and all horror movies and this one ranks way up there.  ,positive,love scream movies horror movies one ranks way
If you want a real scare rent this one!  ,positive,want real scare rent one
10-Oct,positive,oct
This is an extraordinary film.  ,positive,extraordinary film
"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",positive,courtroom drama compelling indictment american justice system frightening
"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",positive,film highlights fundamental flaws legal process discovering guilt innocence rather presents better court
"The film is well paced, understated and one of the best courtroom documentaries I've seen.  ",positive,film well paced understated one best courtroom documentaries ive seen
This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.  ,positive,mostly routine factbased tv drama gets boost fine performance cole
"Predictable, but not a bad watch.  ",positive,predictable bad watch
It was clear that she had the range and ability to pull off this part.  ,positive,clear range ability pull part
She carries the movie well.  ,positive,carries movie well
Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  ,positive,constantine gives everything right intensity seems good understanding underlying psychological motivations
"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  ",positive,wonderful inspiring watch hope gets released video dvd
"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  ",negative,piece trash ever released beyond acting story characters supposedly special effects etcits wrong
"In fact, this stinker smells like a direct-to-video release.  ",negative,fact stinker smells like directtovideo release
Avoid at ALL costs!  ,negative,avoid costs
Star Trek V The final Frontier is the worst in the series.  ,negative,star trek v final frontier worst series
"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  ",negative,acting involved includes like shatner nimoy bad washed making seem old look real life special effects tacky like spock rescue kirk jet pack falls mountain
The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  ,negative,attempts humor pitiful story awful dosent bear thinking basically involves vulcan stealing enterprise find god seriously didnt care film oh mention uhura belly dance distract male guards
The only place good for this film is in the garbage.  ,negative,place good film garbage
The worst one of the series.  ,negative,worst one series
Editing: The editing of this film was phenomenal in my opinion.  ,positive,editing editing film phenomenal opinion
"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",positive,song could explain emotions subjects better jay adams unfortunate life subject talk song old man neil young played evokes many emotions
